City,Accommodation,Apartment Name,Furnishing,Tenant Preferred,Availability,Carpet Area,Floor,Facing,overlooking,Bathroom,Balcony,Rent,Description
bangalore,2 BHK Builder Floor for Rent in Marathahalli,None,Semi-Furnished,Bachelors/Family,Immediately,None,2 out of 4,None,None,2,None,"₹15,000","If you are planning to rent a flat, you can consider this 2 BHK flat situated in the prime location of Marathahalli. The rent amount of the flat is very competitive and set at an amount of Rs 15,000/-. We are selective about renting out the flat and the type of tenants preferred are Bachelors/Family. This flat on rent comes with 2 well planned bedrooms. A beautifully designed abode, the flat is semi-furnished. Studded with almost all the features, the flat is immediately available for rent. "
bangalore,2 BHK Builder Floor for Rent in Cox Town,None,Semi-Furnished,Bachelors/Family,Immediately,None,Ground out of 3,None,None,2,None,"₹30,000","If taking a flat for rent is on you mind, you must go for 2 BHK flat in Cox Town located at the heart of the city. The rental amount of the flat is an affordable Rs 30,000/-. We have some preferences about the tenants to rent the flat and the preferred tenants are Bachelors/Family. This flat on rent comes with 2 well planned bedrooms. A beautifully designed abode, the flat is semi-furnished. Studded with almost all the features, the flat is immediately available for rent. "
bangalore,2 BHK Apartment for Rent in Sadashiva Nagar,Varsha Apartments,Furnished,Bachelors/Family,Immediately,1024 sqft,3 out of 7,East,Garden/Park,3,1,"₹55,000","This perfect 2 BHK flat has been newly renovated and furnished with high quality ACs, appliances and all of the furniture you need to make this flat your new home. Varsha Apartment is located on CV Raman Road in one of the most prestigious locations of Sadashivanagar, Bangalore. It stands out because of its spaciousness and affordability. It is located just off of Mekri Circle. The building has 2 lifts and only 4 flats per floor. This top floor 2 BHK flat has beautiful clear views of greenery. All Bedrooms have an attached bathroom and there is an additional bathroom in the flat as well."
bangalore,3 BHK Apartment for Rent in Indira Nagar,Monarch Manor Apartments,Furnished,Bachelors/Family,Immediately,None,2 out of 5,South -West,Main Road,2,None,"₹40,000","Rent flats of 3 BHK in the prime locality of Indira Nagar. The state-of-the art flat available on rent is part of the Monarch Manor Apartments. The rental amount of the flat is an affordable Rs 40,000/-. We have some preferences about the tenants to rent the flat and the preferred tenants are Bachelors/Family. Also, it overlooks main road to offer a soothing view. The flat comes with 1 covered car parking for dedicated use. This flat on rent comes with 3 well planned bedrooms. To serve the occupier optimally, the flat comes furnished. Owing to continuous demand, the flat is immediately available for rent. "
bangalore,"3 BHK Apartment for Rent in Btm Layout Stage 2, BTM Layout",None,Semi-Furnished,Family,Immediately,1100 sqft,2 out of 4,West,Main Road,2,4,"₹25,000","The house is situated at prime area in btm 2nd stage ns palya. The house is very bright with natural light to all the rooms, kitchen, dining. Both cauvery water and borewell backup water available always. Have wardrobes in all the 3 bed rooms. Apart from this have a big tv stand. Includes italian kitchen with semi breakfast island. Generator available for the entire apartment. Behind shoppers stop bannerghatta road. 2mins walking distance from vega city. 1km from fortis hospital and apollo hospital bannerghatta road. 2mins walking distance from vibgyor international school. 5min walking distan"
bangalore,"1 BHK Builder Floor for Rent in Hsr Layout Sector 5, HSR Layout",None,Semi-Furnished,Bachelors,Immediately,600 sqft,2 out of 5,North,"Garden/Park, Main Road",1,1,"₹14,500","1bhk brand New house with lift security CC camera good moduler kichen Do you want to rent flat for accomodation? Consider 1 BHK flat in the popular locality of Hsr Layout Sector 5, HSR Layout. Affordable to rent, the flat is available for rent at a competitive amount of Rs 14,500/-. Although, the occupier is required to deposit a booking amount of Rs 50000/-. We are selective about renting out the flat and the type of tenants preferred are Bachelors. Some premium add-on facilities bundled with the flat are ro water system. The flat is centrally located near vandana encleve behind. It is well placed and enables a view of garden/park, main road. In addition to this, the flat is studded with capacious 1 balconies. The flat listed for rent boasts of 1 sizable and aesthetically designed bedrooms. The flat comes semi-furnished and is sure to appeal to you. It is immediately available for rent. "
bangalore,3 BHK Apartment for Rent in Hennur Main Road,Sri Gayathri Paradise,Semi-Furnished,Bachelors/Family,Immediately,1170 sqft,1 out of 4,West,Main Road,2,2,"₹17,500","Searching for a well-sized dwelling to rent and stay comfortably with your treasured ones??? Then your search ends now. Look at this fantastic 3BHK flat that is available on a rental basis in one of the noble societies named Sri Gayathri Paradise on Hennur Main Road, Bangalore. So, book as soon as possible…!::::::Property Specifications::::::Spanning across 1300sqft of a super area & 1200sqft of a carpet area, this vaastu compliant flat faces towards the west direction and is well-positioned on the 1st floor of the 4-storeyed building.::::::Flawlessly designed & mindfully planned, this semi-furnished flat encompasses 3 bedrooms, 2 bathrooms, 3 balconies, living cum dining area and a modular kitchen with cabinets, granite platform, sink & utility.::::::All the bedrooms are beautified with wardrobes to place your clothes & valuables neatly. Fashioned in a western style & outfitted with geysers, 1 bathroom is attached whereas 1 bathroom is common.::::::Overlooking the unblocked views of the road, 1 balcony is connected to 1 of the bedrooms, 1 balcony is aligned with the dining area and 1 balcony is linked with the kitchen. To give a fabulous look, all the rooms are finely covered with the vitrified tiles on the flooring.::::::Facilities::::::To accommodate your vehicles safely, 1 covered reserved parking slot is available for this dwelling. A sufficient amount of water supply for 24 hours, 1 lift and 100% power backup facilities are provided here. Security guard is appointed and CCTV cameras are installed for round the clock surveillance.::::::Locality::::::Prime location on Hennur Main Road near Manyata Tech Park and is the prominent landmark for this residential property. The leading CMR International School is available at 2kms from this flat. Many notable hospitals are accessible within 4kms for any medical aid.::::::The Reliance Fresh is found within a radius of 200mts to buy your daily requirements. You can find numerous major banks and ATMs close by to fulfill your banking needs.::::::Commuting is also quite easy, as you can access the Banaswadi Railway Station at 4kms, the Baiyappanahalli Metro Station at 10kms and several means of public transportation like autos, buses & taxis within the shortest distance from this society.::"
bangalore,1 BHK Apartment for Rent in Hebbal,Glen Classic,Unfurnished,Bachelors,Immediately,500 sqft,2 out of 18,East,Garden/Park,1,1,"₹22,000","Brand new East facing with covered car parking lift security Power backup with All amenities Rent flats of 1 BHK in the prime locality of Hebbal. The state-of-the art flat available on rent is part of the Glen Classic. The Rent amount is set at an attractive price of Rs 22,000/-. However, you will have to deposit a booking amount of Rs 125000/- if you wish to rent this flat. We are particular about whom we let out the flat to and the type of tenants preferred are Bachelors. Some added-on facilities available with the flat are banquet hall, jogging and strolling track, outdoor tennis courts, laundry service, internet/wi-fi connectivity. Strategically located near ms ramaiah hospital manyata tech park dollars colony hebbal junction, the flat is smartly located to offer seamless connectivity. It provides an amazing view of garden/park. The flat also has 1 balconies for a multiple usages. The flat listed for rent boasts of 1 sizable and aesthetically designed bedrooms. With the flat, you get hold of 1 store room which is spacious and can be used to store unused articles. Designed to meet your modern needs, the flat comes unfurnished. It is immediately available for rent. "
bangalore,"2 BHK Builder Floor for Rent in Bohra Layout, Gottigere, bannerghatta main Road",None,Semi-Furnished,Family,Immediately,None,4 out of 4,West,None,2,1,"₹16,500","West facing 2 bedroom(s) apartment for Rent in Gottigere, Bannerghatta Main Road, Bangalore. The apartment is a Semi furnished property with Fans, Lights, Cabinet Kitchen, Wardrobes, TV Unit, Pooja cabinet, Geyser, Shoe rack. The building has a total of 4 floors and the apartment is on the Fourth Floor. The apartment is available for Rent at Rs 16,500/- (including Maintenance). This apartment also has a balcony/Dry Area. The apartment offers you an unparalleled living experience with amenities like 24/7 Water, 24/7 security, 1 Covered parking. Landmark:- Nr Vijayashree Hospital / RML Law college, 5 minutes from the Main road. Connected to various Malls and Schools.::::3 kms from Meenakshi mall / temple.:::: ::::Family preferred, Brokers kindly excuse."
bangalore,3 BHK Apartment for Rent in Sarjapur Road,MJ Lifestyle Amadeus,Semi-Furnished,Bachelors/Family,Immediately,None,7 out of 14,None,None,3,3,"₹20,000","Rent flats of 3 BHK in the prime locality of Sarjapur Road. This charming flat available on rent is part of the Mj Lifestyle Amadeus. The Rent amount is set at an attractive price of Rs 20,000/-. Although, the occupier is required to deposit a booking amount of Rs 120000/-. We keep a say in the type of tenants preferred to rent our flat and the tenants preferred are Bachelors/Family. The flat also has 3 balconies for a multiple usages. The flat listed for rent boasts of 3 sizable and aesthetically designed bedrooms. To serve the occupier optimally, the flat comes semi-furnished. It is immediately available for rent. "
bangalore,1 BHK Apartment for Rent in Dodda Bomma Sandra,None,Semi-Furnished,Bachelors/Family,Immediately,350 sqft,2 out of 3,East,Main Road,1,None,"₹8,500","Do you want to rent flat for accomodation? Consider 1 BHK flat in the popular locality of Dodda Bomma Sandra. The rental amount of the flat is an affordable Rs 8,500/-. Although, the occupier is required to deposit a booking amount of Rs 60000/-. We keep a say in the type of tenants preferred to rent our flat and the tenants preferred are Bachelors/Family. It is well-positioned and one can get a view of main road. To park your car, the flat comes with a its own 1 open car parking. The flat listed for rent boasts of 1 sizable and aesthetically designed bedrooms. The flat comes semi-furnished and is sure to appeal to you. It is immediately available for rent. "
bangalore,4 BHK Apartment for Rent in Hebbal,RMZ Latitude,Semi-Furnished,Bachelors/Family,Immediately,None,6 out of 8,None,None,4,None,₹2.3 Lac,"Multistorey apartment is available for rent. It is a good location property. Please contact for more details. Looking out for a flat for rent? Rent flats of 4 BHK in the well-connected locality of Hebbal. The spacious flat offered on rent is part of the popular project Rmz Latitude. The rental amount of the flat is an affordable Rs 2.3 Lac/-. We keep a say in the type of tenants preferred to rent our flat and the tenants preferred are Bachelors/Family. The flat on rent has 4 large and spacious bedrooms. The flat comes semi-furnished and is sure to appeal to you. Owing to continuous demand, the flat is immediately available for rent. "
bangalore,3 BHK Apartment for Rent in Airport Road,None,Unfurnished,Bachelors,Immediately,1200 sqft,3 out of 3,East,None,2,2,"₹22,000","In front of Capitol public school, Karnataka public school, HDFC training college.Regal hospital in opposite Road. Airport is only at 20km. Manyata tech park is at 4 km. Element Mall, PVR cinema at 3 km. Jakur at 1.5 km. and many more near by."
bangalore,2 BHK Apartment for Rent in Palace Road,None,Semi-Furnished,Bachelors/Family,Immediately,None,3 out of 5,None,Garden/Park,2,1,"₹42,000","Excellent and prime locality residential 2 BHK flat for rent, palace cross road with all amenities like AC, wardrobes, attached bathrooms, hot water geyser, car park, modular kitchen, separate servant toilet, lift, power backup, water supply, 24 hour security and much more. Rent: Rs.35, 000/- (negotiable) and low monthly maintenance. Agents and Brokers - Please excuse. Please contact for more details."
bangalore,3 BHK Apartment for Rent in Kanakapura Road,Gopalan Temple Trees,Semi-Furnished,Bachelors/Family,Immediately,None,1 out of 4,None,None,2,None,"₹40,000","Looking out for a flat for rent? Rent flats of 3 BHK in the well-connected locality of Kanakapura Road. The spacious flat offered on rent is part of the popular project Gopalan Temple Trees. Affordable to rent, the flat is available for rent at a competitive amount of Rs 40,000/-. We keep a say in the type of tenants preferred to rent our flat and the tenants preferred are Bachelors/Family. The flat available on rent features 3 spacious bedrooms. To serve the occupier optimally, the flat comes semi-furnished. It is immediately available for rent. "
bangalore,2 BHK Apartment for Rent in Hulimavu,None,Semi-Furnished,Bachelors/Family,Immediately,1200 sqft,3 out of 6,East,Main Road,2,2,"₹12,000","2 bhk flat for lease ::::lease amount 8 lakh ::::including mentainence ::::3rd floor. Do you want to rent flat for accomodation? Consider 2 BHK flat in the popular locality of Hulimavu. The rental amount of the flat is an affordable Rs 12,000/-. However, you will have to deposit a booking amount of Rs 75000/- if you wish to rent this flat. We are particular about whom we let out the flat to and the type of tenants preferred are Bachelors/Family. The flat is centrally located near near to krishna kuteera hotel.. The location ensures a splendid view of main road. The flat comes with 1 covered car parking for dedicated use. Also, there are 2 balconies in the flat. This flat on rent comes with 2 well planned bedrooms. Designed to meet your modern needs, the flat comes semi-furnished. It is immediately available for rent. "
bangalore,3 BHK Apartment for Rent in Vidyaranyapura,None,Unfurnished,Bachelors,Immediately,None,2 out of 3,North,None,2,1,"₹22,000","Multistorey apartment is available for rent. It has covered area 1500 sq-ft, it is 3 BHK apartment. Please contact for more details. If taking a flat for rent is on you mind, you must go for 3 BHK flat in Vidyaranyapura located at the heart of the city. The Rent amount is set at an attractive price of Rs 22,000/-. Although, the occupier is required to deposit a booking amount of Rs 300000/-. We keep a say in the type of tenants preferred to rent our flat and the tenants preferred are Bachelors. In addition to this, the flat is studded with capacious 1 balconies. The flat offered on rent is equipped with 3 well-designed bedrooms. Designed to meet your modern needs, the flat comes unfurnished. The flat is immediately available for rent. "
bangalore,1 BHK Builder Floor for Rent in Thanisandra,None,Semi-Furnished,Bachelors/Family,Immediately,None,3 out of 4,None,None,1,None,"₹6,500","Looking out for a flat for rent? Rent flats of 1 BHK in the well-connected locality of Thanisandra. The rental amount of the flat is an affordable Rs 6,500/-. We are particular about whom we let out the flat to and the type of tenants preferred are Bachelors/Family. This flat on rent comes with 1 well planned bedrooms. Designed to meet your modern needs, the flat comes semi-furnished. The flat is immediately available for rent. "
bangalore,"2 BHK Apartment for Rent in Shirdi Sai Nagar, R.K.Hegde Nagar",None,Unfurnished,Bachelors,Immediately,None,4 out of 4,North - East,Pool,2,1,"₹25,000","Multistorey apartment is available for rent. It has covered area 1200 sq-ft, it is 2 BHK apartment. Please contact for more details. If taking a flat for rent is on you mind, you must go for 2 BHK flat in Shirdi Sai Nagar, R.K.Hegde Nagar located at the heart of the city. The Rent amount is set at an attractive price of Rs 25,000/-. We have some preferences about the tenants to rent the flat and the preferred tenants are Bachelors. Some premium add-on facilities bundled with the flat are internet/wi-fi connectivity,service/goods lift,intercom facility. It provides an amazing view of pool. It also has 1 balconies. The flat offered on rent is equipped with 2 well-designed bedrooms. The flat is well-designed and comes unfurnished, with a unique appeal. It is immediately available for rent. "
bangalore,1 BHK Apartment for Rent in Bidare Agrahara,None,Unfurnished,Bachelors/Family,Immediately,None,1 out of 4,North - East,None,1,1,"₹6,500","Multistorey apartment is available for rent. It has covered area 550 sq-ft, it is 1 BHK apartment. Please contact for more details. Looking out for a flat for rent? Rent flats of 1 BHK in the well-connected locality of Bidare Agrahara. The rental rates are quite justifiable and set at an amount of Rs 6,500/-. We have some choices in term of preferred tenants to let out the flat and the tenants preferred are Bachelors/Family. The flat also has 1 balconies for a multiple usages. This flat on rent comes with 1 well planned bedrooms. Designed to meet your modern needs, the flat comes unfurnished. It is immediately available for rent. "
bangalore,"2 BHK Apartment for Rent in Jp Nagar Phase 2, J P Nagar",None,Semi-Furnished,Bachelors,Immediately,800 sqft,Ground out of 2,East,"Garden/Park, Main Road",2,None,"₹20,000","Rent flats of 2 BHK in the prime locality of Jp Nagar Phase 2, J P Nagar. Affordable to rent, the flat is available for rent at a competitive amount of Rs 20,000/-. However, you are required to deposit a booking amount of Rs 200000/-. We are selective about renting out the flat and the type of tenants preferred are Bachelors. The flat boasts of a superb location near behind venkateshwara temple. It is well-positioned and one can get a view of garden/park, main road. This flat on rent comes with 2 well planned bedrooms. You also get 1 store room that allows you additional storage space. A beautifully designed abode, the flat is semi-furnished. The flat is immediately available for rent. "
bangalore,3 BHK Apartment for Rent in Nri Layout,None,Semi-Furnished,Bachelors/Family,Immediately,None,2 out of 4,None,None,2,None,"₹18,000","Rent flats of 3 BHK in the prime locality of Nri Layout. The rental amount of the flat is an affordable Rs 18,000/-. We have some choices in term of preferred tenants to let out the flat and the tenants preferred are Bachelors/Family. This flat on rent comes with 3 well planned bedrooms. Designed to meet your modern needs, the flat comes semi-furnished. Owing to continuous demand, the flat is immediately available for rent. "
bangalore,2 BHK Builder Floor for Rent in K R Puram,None,Unfurnished,Bachelors/Family,Immediately,None,2 out of 3,None,None,1,None,"₹9,000","Rent flats of 2 BHK in the prime locality of K R Puram. The rental rates are quite justifiable and set at an amount of Rs 9,000/-. We are selective about renting out the flat and the type of tenants preferred are Bachelors/Family. The flat on rent has 2 large and spacious bedrooms. A beautifully designed abode, the flat is unfurnished. Owing to continuous demand, the flat is immediately available for rent. "
bangalore,2 BHK Apartment for Rent in Hennur Main Road,Purva Palm Beach,Unfurnished,Bachelors/Family,Immediately,1100 sqft,9 out of 19,North,"Garden/Park, Pool, Main Road",2,1,"₹27,000","Its luxurious flats located in heart of hennur which is connected all the location very spacious all the rooms with club house and artificial palm beach each every stuff available in a same gated society Looking out for a flat for rent? Rent flats of 2 BHK in the well-connected locality of Hennur Main Road. The state-of-the art flat available on rent is part of the Purva Palm Beach. The rental rates are quite justifiable and set at an amount of Rs 27,000/-. However, you are required to deposit a booking amount of Rs 150000/-. We are particular about whom we let out the flat to and the type of tenants preferred are Bachelors/Family. Some premium add-on facilities bundled with the flat are jogging and strolling track. The flat is strategically located near from outer ring road only 5 km ::::lulu hyper market and bygbrewsky 1.5km. Also, it overlooks garden/park, pool, main road to offer a soothing view. Also, it features 1 balconies that are spacious. The flat available on rent features 2 spacious bedrooms. Also, the dedicated 1 study room can be utilised as a home office or guest/servant room. The flat comes unfurnished and is sure to appeal to you. The flat is immediately available for rent. "
bangalore,"2 BHK Builder Floor for Rent in Jp Nagar Phase 7, J P Nagar",None,Semi-Furnished,Bachelors,Immediately,1025 sqft,Ground out of 5,East,Main Road,2,None,"₹15,500","good location and vastu Rent flats of 2 BHK in the prime locality of Jp Nagar Phase 7, J P Nagar. The rental rates are quite justifiable and set at an amount of Rs 15,500/-. Although, the occupier is required to deposit a booking amount of Rs 85000/-. We have some choices in term of preferred tenants to let out the flat and the tenants preferred are Bachelors. The flat is strategically located near near brigade millennium and big bazaar and capital schools and good location and vastu near by hospitals and markets near metro station yelachenahalli and konakunta cross pls contact sanvika realtors thank you. Also, it overlooks main road to offer a soothing view. This flat on rent comes with 2 well planned bedrooms. A beautifully designed abode, the flat is semi-furnished. The flat is immediately available for rent. "
bangalore,3 BHK Apartment for Rent in Jigani,DLF Maiden Heights,Semi-Furnished,Bachelors/Family,Immediately,None,6 out of 12,None,None,3,None,"₹16,500","Multistorey apartment is available for sale. It is a good location property. Please contact for more details. Rent flats of 3 BHK in the prime locality of Jigani. The state-of-the art flat available on rent is part of the Dlf Maiden Heights. The rental amount of the flat is an affordable Rs 16,500/-. We keep a say in the type of tenants preferred to rent our flat and the tenants preferred are Bachelors/Family. The flat available on rent features 3 spacious bedrooms. To serve the occupier optimally, the flat comes semi-furnished. Studded with almost all the features, the flat is immediately available for rent. "
bangalore,2 BHK Apartment for Rent in Marathahalli,None,Unfurnished,Bachelors,Immediately,1000 sqft,4 out of 4,West,Main Road,2,1,"₹20,000","MultistoreyapartmentisavailableforrentIthascarpetarea1000sq-ftitis2BHKapartmentPleasecontactformoredetails If taking a flat for rent is on you mind, you must go for 2 BHK flat in Marathahalli located at the heart of the city. The rental rates are quite justifiable and set at an amount of Rs 20,000/-. You just have to deposit an initial booking amount of Rs 100000/-. We are selective about renting out the flat and the type of tenants preferred are Bachelors. Some premium add-on facilities bundled with the flat are ro water system. It is well placed and enables a view of main road. Also, it features 1 balconies that are spacious. The flat on rent has 2 large and spacious bedrooms. To serve the occupier optimally, the flat comes unfurnished. Owing to continuous demand, the flat is immediately available for rent. "
bangalore,3 BHK Apartment for Rent in Arakere,None,Semi-Furnished,Bachelors/Family,Immediately,None,2 out of 25,None,None,4,None,"₹66,000","Rent flats of 3 BHK in the prime locality of Arakere. The rental amount of the flat is an affordable Rs 66,000/-. We are particular about whom we let out the flat to and the type of tenants preferred are Bachelors/Family. The flat listed for rent boasts of 3 sizable and aesthetically designed bedrooms. The flat is well-designed and comes semi-furnished, with a unique appeal. Studded with almost all the features, the flat is immediately available for rent. "
bangalore,2 BHK Apartment for Rent in Bannerghatta Main Road,None,Unfurnished,Bachelors,Immediately,1100 sqft,1 out of 4,None,None,2,4,"₹17,500","Looking out for a flat for rent? Rent flats of 2 BHK in the well-connected locality of Bannerghatta Main Road. Affordable to rent, the flat is available for rent at a competitive amount of Rs 17,500/-. We have some choices in term of preferred tenants to let out the flat and the tenants preferred are Bachelors. The flat also has 4 balconies for a multiple usages. The flat available on rent features 2 spacious bedrooms. A beautifully designed abode, the flat is unfurnished. Studded with almost all the features, the flat is immediately available for rent. "
bangalore,1 BHK Apartment for Rent in Mahadevapura,None,Semi-Furnished,Bachelors,Immediately,None,3 out of 4,North,Garden/Park,1,1,"₹16,000","1 bhk flat with 24 hours water,lift,security. Looking out for a flat for rent? Rent flats of 1 BHK in the well-connected locality of Mahadevapura. The rental amount of the flat is an affordable Rs 16,000/-. Although, the occupier is required to deposit a booking amount of Rs 75000/-. We are selective about renting out the flat and the type of tenants preferred are Bachelors. The flat is centrally located near google, samsung.. The location ensures a splendid view of garden/park. It also has 1 balconies. The flat on rent has 1 large and spacious bedrooms. With 1 store room attached, the extra articles can be easily stored. Designed to meet your modern needs, the flat comes semi-furnished. It is immediately available for rent. "
new-delhi,"4 BHK Builder Floor for Rent in RWA South Extension 2, South Extension 2, South Ex 2",RWA South Extension 2,Semi-Furnished,Bachelors,Immediately,2600 sqft,1 out of 4,East,Garden/Park,4,None,₹1.1 Lac,"Prime located apartment available immediately for rent Looking out for a flat for rent? Rent flats of 4 BHK in the well-connected locality of South Extension 2, South Ex 2. The state-of-the art flat available on rent is part of the Rwa South Extension 2. The rent amount of the flat is very competitive and set at an amount of Rs 1.1 Lac/-. Plus you need to pay a booking amount of only Rs 220000/-. We are particular about whom we let out the flat to and the type of tenants preferred are Bachelors. The flat is well-connected and positioned near metro station, aiims. The location ensures a splendid view of garden/park. Ensuring that you park the car safely, the flat has 2 covered car parking. The flat offered on rent is equipped with 4 well-designed bedrooms. And 1 study room that can be used as a guest room or a home office. To serve the occupier optimally, the flat comes semi-furnished. It is immediately available for rent. "
new-delhi,3 BHK Builder Floor for Rent in Anand Niketan,None,Semi-Furnished,Bachelors/Family,Immediately,2200 sqft,3 out of 4,North,Garden/Park,3,3,₹1.5 Lac,"Park Facing , 3 Years old , 3 bhk builder floor for rent in Anand Niketan , Its located on the Third Floor with Terrace with lift available , plot area 300 Sq.Yd , Spacious 3 bedrooms with attached bath available , Modular kitchen , drawing dining room , Italian marble flooring , wooden flooring , Semi furnished floor AC, Wardrobe, Fan, Light, geyser, all modern amenities available , Stilt 2 car parking , Near Metro connectivity, well maintained property , Good and peaceful prime location, Kindly call for details.."
