station,aqi,latitude,longitude,co,no2,o3,so2,pm10,pm2.5,time,batch_time
"Montg, Alabama, USA",24,32.4069,-86.2564,None,None,11.2,None,None,24,2022-06-09 01:00:00,2022-06-09 13:06:21
"South Phoenix, Maricopa, USA",37,33.403055555556,-112.07527777778,1.2,4.7,12.8,0.1,37,28,2022-06-09 00:00:00,2022-06-09 13:06:21
"Parr, Arkansas, USA",13,34.7561,-92.2758,None,None,12.8,None,None,None,2022-06-09 00:00:00,2022-06-09 13:06:21
"Sacramento - 1309 T Street, Sacramento, California",39,38.56844,-121.49311,None,3.8,0.1,None,12,39,2022-06-08 20:00:00,2022-06-09 13:06:21
"CAMP, Colorado, USA",20,39.751184,-104.987625,1.9,2.3,19.5,0.6,10,13,2022-06-08 23:00:00,2022-06-09 13:06:21
"Hartford-Huntley, Connecticut, USA",34,41.771444,-72.679923,2.3,5.1,None,None,13,34,2022-06-09 02:00:00,2022-06-09 13:06:21
"Tallahassee Community College, Leon, Florida, USA",6,30.439722222222,-84.346388888889,1.3,None,5.3,0.6,None,6,2022-06-09 02:00:00,2022-06-09 13:06:21
"United Ave., Georgia, USA",45,33.720192,-84.357056,None,None,21.6,1.5,None,45,2022-06-09 01:00:00,2022-06-09 13:06:21
"Honolulu, Hawaii, USA",17,21.30758,-157.85542,1.2,None,None,None,4,17,2022-06-08 21:00:00,2022-06-09 13:06:21
"Boise Fire Station #5, Idaho, USA",25,43.618889,-116.213611,7.4,1,25.6,1.5,11,25,2022-06-08 23:00:00,2022-06-09 13:06:21
"Hillcrest HS, Missouri, USA",18,37.256069,-93.299692,None,None,4,None,15,18,2022-06-09 00:00:00,2022-06-09 13:06:21
"Indpls - I-70 E, Indiana, USA",42,39.787933,-86.13088,95.3,11.2,17.6,None,None,42,2022-06-09 02:00:00,2022-06-09 13:06:21
"Carpenter, Des Moines, Iowa, USA",39,41.603056,-93.643056,None,15.6,39.2,None,None,19,2022-06-09 01:00:00,2022-06-09 13:06:21
"KNI-Topeka, Kansas, USA",27,39.0242,-95.7114,None,None,4,None,14,27,2022-06-09 01:00:00,2022-06-09 13:06:21
"Baton Rouge Capitol site, Louisiana, USA",23,30.46198,-91.17922,1,6,9.6,0.2,4,23,2022-06-09 01:00:00,2022-06-09 13:06:21
"Augusta, Georgia, USA",35,33.433349,-82.022217,None,None,19.2,1.5,15,35,2022-06-09 01:00:00,2022-06-09 13:06:21
Boston,34,42.3584308,-71.0597732,5.8,18.6,19.2,14.3,None,34,2022-06-09 00:00:00,2022-06-09 13:06:21
"Lansing Filley St, Michigan, USA",24,42.76138,-84.562867,None,4.7,11.2,1.5,None,24,2022-06-09 01:00:00,2022-06-09 13:06:21
"St. Paul-Harding H.S., Minnesota, USA",30,44.9594,-93.0356,None,None,None,None,None,30,2022-06-09 01:00:00,2022-06-09 13:06:21
"Jackson NCORE, Mississippi, USA",21,32.329111,-90.182722,None,None,14.5,1.5,11,21,2022-06-09 01:00:00,2022-06-09 13:06:21
"Beaumont Mary, Beaumont, Texas",-,30.06717,-94.09093,None,None,None,None,None,None,None,2022-06-09 13:06:21
"Rossiter Pump House, Montana, USA",50,46.6588,-112.0131,None,None,None,None,None,50,2022-06-09 00:00:00,2022-06-09 13:06:21
"Llchd Bam, Nebraska, USA",17,40.812558,-96.675733,None,None,None,None,None,17,2022-06-09 01:00:00,2022-06-09 13:06:21
"Concord, Contra Costa, California",21,37.936,-122.0262,1,1.9,16,1.5,None,21,2022-06-08 22:00:00,2022-06-09 13:06:21
"Rider University, NewJersey, USA",30,40.28308,-74.74264,None,5.6,30.4,None,None,24,2022-06-09 02:00:00,2022-06-09 13:06:21
"Albany County HD, New York, USA",28,42.642253,-73.754576,2.3,None,2,None,None,28,2022-06-09 01:00:00,2022-06-09 13:06:21
